Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00008854,Toothbrush 4000,2022-12-05 16:24:20.338525200,15,4,DE24%209LQ,BB5 5HN,1,Order Confirmed,2022-12-05 17:20:25.223634000,,
BRU00009471,Toothbrush 2000,2022-12-05 02:16:54.656626800,77,1,CO1%202SZ,CW5 8PL,1,Order Confirmed,2022-12-05 03:40:03.875404800,,
BRU00008982,Toothbrush 4000,2022-12-05 15:04:30.378920000,13,3,DY1%204SN,CF38 1HN,1,Dispatched,2022-12-05 22:05:57.538937600,Delivered,2022-12-07 00:32:49.820624
BRU00008757,Toothbrush 2000,2022-12-04 20:42:57.555443600,76,4,AB11%208LG,CT9 2PA,1,Order Received,2022-12-04 20:54:41.469869600,,
BRU00009462,Toothbrush 2000,2022-12-05 15:00:30.021613600,78,6,GU14%207JW,EH52 6HE,1,Order Confirmed,2022-12-05 16:16:45.093979599,,
BRU00009350,Toothbrush 2000,2022-12-04 21:08:36.304681600,63,9,HD1%205BY,DY4 7EJ,1,Order Received,2022-12-04 21:20:53.770160800,,
BRU00008793,Toothbrush 4000,2022-12-05 16:10:57.081367200,24,1,BB8%209AL,DN35 8JT,1,Order Received,2022-12-05 16:22:33.588408000,,
BRU00009666,Toothbrush 2000,2022-12-05 09:25:56.577401600,65,3,DL15%209LR,AL6 0TJ,1,Dispatched,2022-12-05 16:15:57.442469600,Delivered,2022-12-06 13:18:40.740701600
BRU00009552,Toothbrush 2000,2022-12-05 05:28:22.880300400,80,6,CT12%204HB,HX7 5LT,1,Order Confirmed,2022-12-05 06:34:48.421886400,,
BRU00008813,Toothbrush 4000,2022-12-05 16:32:21.970979600,39,5,B21%200HJ,CF62 3LT,1,Dispatched,2022-12-06 00:43:13.012590800,In Transit,2022-12-06 01:31:20.712875600
BRU00009087,Toothbrush 2000,2022-12-04 22:47:59.251822800,68,7,E8%203BS,EH49 7QS,1,Dispatched,2022-12-05 05:01:20.365644000,Delivered,2022-12-06 07:50:06.925657200
BRU00009110,Toothbrush 4000,2022-12-05 15:43:06.143290400,36,5,BH18%209AL,DY1 2BB,1,Order Received,2022-12-05 15:53:41.238255200,,
